,gene_ids,feature_types
QDPR,ENSG00000151552,Gene Expression
CLRN2,ENSG00000249581,Gene Expression
LAP3,ENSG00000002549,Gene Expression
AC006160.1,ENSG00000249502,Gene Expression
MED28,ENSG00000118579,Gene Expression
FAM184B,ENSG00000047662,Gene Expression
DCAF16,ENSG00000163257,Gene Expression
NCAPG,ENSG00000109805,Gene Expression
LCORL,ENSG00000178177,Gene Expression
AC093871.1,ENSG00000251048,Gene Expression
LINC02438,ENSG00000248238,Gene Expression
AC024230.1,ENSG00000248515,Gene Expression
AC110767.1,ENSG00000249441,Gene Expression
SLIT2,ENSG00000145147,Gene Expression
PACRGL,ENSG00000163138,Gene Expression
KCNIP4,ENSG00000185774,Gene Expression
AC097505.1,ENSG00000272995,Gene Expression
AC110296.1,ENSG00000250243,Gene Expression
AC096576.3,ENSG00000250092,Gene Expression
AC096576.2,ENSG00000248343,Gene Expression
KCNIP4-IT1,ENSG00000280650,Gene Expression
AC096719.1,ENSG00000250039,Gene Expression
ADGRA3,ENSG00000152990,Gene Expression
AC097512.1,ENSG00000248837,Gene Expression
AC114912.1,ENSG00000249645,Gene Expression
AC092440.1,ENSG00000249547,Gene Expression
AC093607.1,ENSG00000250137,Gene Expression
ERVH-1,ENSG00000251292,Gene Expression
PPARGC1A,ENSG00000109819,Gene Expression
AC092834.1,ENSG00000249453,Gene Expression
DHX15,ENSG00000109606,Gene Expression
LINC02473,ENSG00000261121,Gene Expression
SOD3,ENSG00000109610,Gene Expression
CCDC149,ENSG00000181982,Gene Expression
LGI2,ENSG00000153012,Gene Expression
SEPSECS,ENSG00000109618,Gene Expression
SEPSECS-AS1,ENSG00000281501,Gene Expression
AC104662.2,ENSG00000281028,Gene Expression
AC104662.1,ENSG00000271172,Gene Expression
PI4K2B,ENSG00000038210,Gene Expression
ZCCHC4,ENSG00000168228,Gene Expression
ANAPC4,ENSG00000053900,Gene Expression
AC092436.2,ENSG00000248545,Gene Expression
SLC34A2,ENSG00000157765,Gene Expression
SEL1L3,ENSG00000091490,Gene Expression
AC092436.4,ENSG00000250541,Gene Expression
SMIM20,ENSG00000250317,Gene Expression
AC133961.1,ENSG00000251009,Gene Expression
LINC02357,ENSG00000283314,Gene Expression
RBPJ,ENSG00000168214,Gene Expression
CCKAR,ENSG00000163394,Gene Expression
TBC1D19,ENSG00000109680,Gene Expression
STIM2,ENSG00000109689,Gene Expression
AC106047.1,ENSG00000240005,Gene Expression
AC024132.2,ENSG00000251080,Gene Expression
AC024132.1,ENSG00000205830,Gene Expression
LINC02261,ENSG00000249699,Gene Expression
AC024132.3,ENSG00000251325,Gene Expression
AC007106.1,ENSG00000251410,Gene Expression
AC109588.1,ENSG00000250038,Gene Expression
AC097480.1,ENSG00000250064,Gene Expression
LINC02364,ENSG00000250190,Gene Expression
AC068944.1,ENSG00000249228,Gene Expression
AC109349.1,ENSG00000248176,Gene Expression
LINC02472,ENSG00000248338,Gene Expression
PCDH7,ENSG00000169851,Gene Expression
AC097716.1,ENSG00000249678,Gene Expression
LINC02497,ENSG00000251182,Gene Expression
AC104071.1,ENSG00000251434,Gene Expression
LINC02501,ENSG00000249882,Gene Expression
LINC02506,ENSG00000251129,Gene Expression
LINC02353,ENSG00000251329,Gene Expression
AC097535.1,ENSG00000248417,Gene Expression
AC016687.3,ENSG00000250954,Gene Expression
AC016687.2,ENSG00000250723,Gene Expression
LINC02484,ENSG00000248685,Gene Expression
AC093689.1,ENSG00000250597,Gene Expression
ARAP2,ENSG00000047365,Gene Expression
AC104078.1,ENSG00000247193,Gene Expression
DTHD1,ENSG00000197057,Gene Expression
AC104078.2,ENSG00000251438,Gene Expression
LINC02505,ENSG00000248215,Gene Expression
AL136537.1,ENSG00000247810,Gene Expression
NWD2,ENSG00000174145,Gene Expression
C4orf19,ENSG00000154274,Gene Expression
AC027607.1,ENSG00000248936,Gene Expression
RELL1,ENSG00000181826,Gene Expression
PGM2,ENSG00000169299,Gene Expression
TBC1D1,ENSG00000065882,Gene Expression
PTTG2,ENSG00000250254,Gene Expression
AC098680.1,ENSG00000251642,Gene Expression
LINC02513,ENSG00000248227,Gene Expression
LINC01258,ENSG00000249534,Gene Expression
LINC01259,ENSG00000249667,Gene Expression
LINC02278,ENSG00000251635,Gene Expression
AC021860.1,ENSG00000271958,Gene Expression
KLF3,ENSG00000109787,Gene Expression
TLR10,ENSG00000174123,Gene Expression
TLR1,ENSG00000174125,Gene Expression
TLR6,ENSG00000174130,Gene Expression
FAM114A1,ENSG00000197712,Gene Expression
TMEM156,ENSG00000121895,Gene Expression
KLHL5,ENSG00000109790,Gene Expression
AC079921.1,ENSG00000249207,Gene Expression
AC079921.2,ENSG00000249685,Gene Expression
WDR19,ENSG00000157796,Gene Expression
RFC1,ENSG00000035928,Gene Expression
KLB,ENSG00000134962,Gene Expression
RPL9,ENSG00000163682,Gene Expression
LIAS,ENSG00000121897,Gene Expression
UGDH,ENSG00000109814,Gene Expression
UGDH-AS1,ENSG00000249348,Gene Expression
SMIM14,ENSG00000163683,Gene Expression
AC108471.2,ENSG00000255458,Gene Expression
UBE2K,ENSG00000078140,Gene Expression
PDS5A,ENSG00000121892,Gene Expression
N4BP2,ENSG00000078177,Gene Expression
RHOH,ENSG00000168421,Gene Expression
AC095057.2,ENSG00000250338,Gene Expression
LINC02265,ENSG00000249241,Gene Expression
CHRNA9,ENSG00000174343,Gene Expression
RBM47,ENSG00000163694,Gene Expression
AC098869.2,ENSG00000250893,Gene Expression
NSUN7,ENSG00000179299,Gene Expression
APBB2,ENSG00000163697,Gene Expression
AC131953.1,ENSG00000250906,Gene Expression
UCHL1-AS1,ENSG00000251173,Gene Expression
UCHL1,ENSG00000154277,Gene Expression
LIMCH1,ENSG00000064042,Gene Expression
AC105389.2,ENSG00000249216,Gene Expression
PHOX2B,ENSG00000109132,Gene Expression
AC105389.3,ENSG00000250467,Gene Expression
AC105389.1,ENSG00000249122,Gene Expression
LINC00682,ENSG00000245870,Gene Expression
AC108210.1,ENSG00000249771,Gene Expression
TMEM33,ENSG00000109133,Gene Expression
DCAF4L1,ENSG00000182308,Gene Expression
AC106052.1,ENSG00000272862,Gene Expression
SLC30A9,ENSG00000014824,Gene Expression
BEND4,ENSG00000188848,Gene Expression
AC111006.1,ENSG00000285454,Gene Expression
AC024022.1,ENSG00000250781,Gene Expression
SHISA3,ENSG00000178343,Gene Expression
ATP8A1,ENSG00000124406,Gene Expression
AC096734.2,ENSG00000260519,Gene Expression
AC096734.1,ENSG00000251517,Gene Expression
GRXCR1,ENSG00000215203,Gene Expression
AC111198.1,ENSG00000248939,Gene Expression
LINC02383,ENSG00000248143,Gene Expression
AC110799.1,ENSG00000250863,Gene Expression
LINC02475,ENSG00000251350,Gene Expression
KCTD8,ENSG00000183783,Gene Expression
YIPF7,ENSG00000177752,Gene Expression
GUF1,ENSG00000151806,Gene Expression
GNPDA2,ENSG00000163281,Gene Expression
AC096586.2,ENSG00000273369,Gene Expression
AC096586.1,ENSG00000272936,Gene Expression
AC108467.1,ENSG00000248744,Gene Expression
GABRG1,ENSG00000163285,Gene Expression
GABRA2,ENSG00000151834,Gene Expression
AC095060.1,ENSG00000249330,Gene Expression
COX7B2,ENSG00000170516,Gene Expression
GABRA4,ENSG00000109158,Gene Expression
GABRB1,ENSG00000163288,Gene Expression
COMMD8,ENSG00000169019,Gene Expression
ATP10D,ENSG00000145246,Gene Expression
AC107398.2,ENSG00000248254,Gene Expression
CORIN,ENSG00000145244,Gene Expression
AC107068.2,ENSG00000282917,Gene Expression
AC107068.1,ENSG00000259959,Gene Expression
NFXL1,ENSG00000170448,Gene Expression
NIPAL1,ENSG00000163293,Gene Expression
CNGA1,ENSG00000198515,Gene Expression
TXK,ENSG00000074966,Gene Expression
TEC,ENSG00000135605,Gene Expression
SLAIN2,ENSG00000109171,Gene Expression
SLC10A4,ENSG00000145248,Gene Expression
ZAR1,ENSG00000182223,Gene Expression
FRYL,ENSG00000075539,Gene Expression
OCIAD1,ENSG00000109180,Gene Expression
OCIAD1-AS1,ENSG00000248256,Gene Expression
OCIAD2,ENSG00000145247,Gene Expression
CWH43,ENSG00000109182,Gene Expression
DCUN1D4,ENSG00000109184,Gene Expression
AC027271.1,ENSG00000272576,Gene Expression
LRRC66,ENSG00000188993,Gene Expression
SGCB,ENSG00000163069,Gene Expression
LINC02480,ENSG00000251040,Gene Expression
SPATA18,ENSG00000163071,Gene Expression
USP46,ENSG00000109189,Gene Expression
USP46-AS1,ENSG00000248866,Gene Expression
AC104066.2,ENSG00000260120,Gene Expression
ERVMER34-1,ENSG00000226887,Gene Expression
LINC01618,ENSG00000250302,Gene Expression
RASL11B,ENSG00000128045,Gene Expression
SCFD2,ENSG00000184178,Gene Expression
AC023154.1,ENSG00000248115,Gene Expression
FIP1L1,ENSG00000145216,Gene Expression
AC058822.1,ENSG00000282278,Gene Expression
LNX1,ENSG00000072201,Gene Expression
LNX1-AS1,ENSG00000250930,Gene Expression
AC110792.3,ENSG00000272650,Gene Expression
CHIC2,ENSG00000109220,Gene Expression
AC110792.2,ENSG00000269506,Gene Expression
GSX2,ENSG00000180613,Gene Expression
PDGFRA,ENSG00000134853,Gene Expression
LINC02283,ENSG00000248184,Gene Expression
AC098587.1,ENSG00000248518,Gene Expression
AC098868.1,ENSG00000251264,Gene Expression
LINC02260,ENSG00000250456,Gene Expression
KIT,ENSG00000157404,Gene Expression
AC097494.1,ENSG00000249727,Gene Expression
LINC02358,ENSG00000251256,Gene Expression
AC111194.1,ENSG00000248317,Gene Expression
AC111194.2,ENSG00000250646,Gene Expression
KDR,ENSG00000128052,Gene Expression
SRD5A3,ENSG00000128039,Gene Expression
AC069200.1,ENSG00000273257,Gene Expression
TMEM165,ENSG00000134851,Gene Expression
CLOCK,ENSG00000134852,Gene Expression
AC024243.1,ENSG00000272969,Gene Expression
PDCL2,ENSG00000163440,Gene Expression
NMU,ENSG00000109255,Gene Expression
EXOC1L,ENSG00000250821,Gene Expression
EXOC1,ENSG00000090989,Gene Expression
CEP135,ENSG00000174799,Gene Expression
KIAA1211,ENSG00000109265,Gene Expression
AASDH,ENSG00000157426,Gene Expression
AC068620.1,ENSG00000269921,Gene Expression
PPAT,ENSG00000128059,Gene Expression
AC068620.2,ENSG00000270147,Gene Expression
PAICS,ENSG00000128050,Gene Expression
SRP72,ENSG00000174780,Gene Expression
ARL9,ENSG00000196503,Gene Expression
THEGL,ENSG00000249693,Gene Expression
HOPX,ENSG00000171476,Gene Expression
SPINK2,ENSG00000128040,Gene Expression
REST,ENSG00000084093,Gene Expression
AC069307.1,ENSG00000269949,Gene Expression
NOA1,ENSG00000084092,Gene Expression
POLR2B,ENSG00000047315,Gene Expression
IGFBP7,ENSG00000163453,Gene Expression
IGFBP7-AS1,ENSG00000245067,Gene Expression
AC105390.1,ENSG00000250192,Gene Expression
LINC02380,ENSG00000248505,Gene Expression
AC013724.1,ENSG00000251459,Gene Expression
AC107396.1,ENSG00000251049,Gene Expression
AC093725.2,ENSG00000250333,Gene Expression
AC093725.1,ENSG00000249831,Gene Expression
LINC02494,ENSG00000250340,Gene Expression
AC019133.1,ENSG00000250078,Gene Expression
AC017091.1,ENSG00000251339,Gene Expression
LINC02429,ENSG00000251266,Gene Expression
AC097501.2,ENSG00000250375,Gene Expression
AC108517.1,ENSG00000249111,Gene Expression
AC096588.1,ENSG00000249392,Gene Expression
AC093857.1,ENSG00000249892,Gene Expression
LINC02496,ENSG00000249066,Gene Expression
LINC02271,ENSG00000240152,Gene Expression
ADGRL3,ENSG00000150471,Gene Expression
AC020741.1,ENSG00000205682,Gene Expression
ADGRL3-AS1,ENSG00000248692,Gene Expression
AC097491.1,ENSG00000251055,Gene Expression
AC093730.1,ENSG00000250775,Gene Expression
TECRL,ENSG00000205678,Gene Expression
LINC02232,ENSG00000250125,Gene Expression
EPHA5,ENSG00000145242,Gene Expression
EPHA5-AS1,ENSG00000250846,Gene Expression
AC104137.1,ENSG00000248479,Gene Expression
AC097110.1,ENSG00000251527,Gene Expression
AC116049.2,ENSG00000249413,Gene Expression
AC096721.1,ENSG00000272304,Gene Expression
AC104806.2,ENSG00000250075,Gene Expression
CENPC,ENSG00000145241,Gene Expression
STAP1,ENSG00000035720,Gene Expression
UBA6,ENSG00000033178,Gene Expression
UBA6-AS1,ENSG00000248049,Gene Expression
GNRHR,ENSG00000109163,Gene Expression
TMPRSS11D,ENSG00000153802,Gene Expression
TMPRSS11A,ENSG00000187054,Gene Expression
TMPRSS11F,ENSG00000198092,Gene Expression
TMPRSS11B,ENSG00000185873,Gene Expression
YTHDC1,ENSG00000083896,Gene Expression
TMPRSS11E,ENSG00000087128,Gene Expression
UGT2B17,ENSG00000197888,Gene Expression
UGT2B15,ENSG00000196620,Gene Expression
UGT2B10,ENSG00000109181,Gene Expression
AC021146.12,ENSG00000272626,Gene Expression
UGT2A3,ENSG00000135220,Gene Expression
UGT2B7,ENSG00000171234,Gene Expression
AC111000.4,ENSG00000250696,Gene Expression
UGT2B11,ENSG00000213759,Gene Expression
UGT2B28,ENSG00000135226,Gene Expression
UGT2B4,ENSG00000156096,Gene Expression
UGT2A1,ENSG00000173610,Gene Expression
UGT2A2,ENSG00000271271,Gene Expression
SULT1B1,ENSG00000173597,Gene Expression
AC108941.2,ENSG00000284695,Gene Expression
SULT1E1,ENSG00000109193,Gene Expression
CSN1S1,ENSG00000126545,Gene Expression
CSN2,ENSG00000135222,Gene Expression
STATH,ENSG00000126549,Gene Expression
HTN3,ENSG00000205649,Gene Expression
HTN1,ENSG00000126550,Gene Expression
PRR27,ENSG00000187533,Gene Expression
ODAM,ENSG00000109205,Gene Expression
FDCSP,ENSG00000181617,Gene Expression
CSN3,ENSG00000171209,Gene Expression
CABS1,ENSG00000145309,Gene Expression
SMR3A,ENSG00000109208,Gene Expression
SMR3B,ENSG00000171201,Gene Expression
OPRPN,ENSG00000171199,Gene Expression
MUC7,ENSG00000171195,Gene Expression
AMTN,ENSG00000187689,Gene Expression
AMBN,ENSG00000178522,Gene Expression
ENAM,ENSG00000132464,Gene Expression
JCHAIN,ENSG00000132465,Gene Expression
UTP3,ENSG00000132467,Gene Expression
AC009570.1,ENSG00000272986,Gene Expression
RUFY3,ENSG00000018189,Gene Expression
GRSF1,ENSG00000132463,Gene Expression
MOB1B,ENSG00000173542,Gene Expression
DCK,ENSG00000156136,Gene Expression
SLC4A4,ENSG00000080493,Gene Expression
GC,ENSG00000145321,Gene Expression
AC068721.1,ENSG00000248567,Gene Expression
NPFFR2,ENSG00000056291,Gene Expression
ADAMTS3,ENSG00000156140,Gene Expression
AC095056.1,ENSG00000250877,Gene Expression
COX18,ENSG00000163626,Gene Expression
ANKRD17,ENSG00000132466,Gene Expression
AC053527.1,ENSG00000250220,Gene Expression
ALB,ENSG00000163631,Gene Expression
AFP,ENSG00000081051,Gene Expression
AFM,ENSG00000079557,Gene Expression
LINC02499,ENSG00000250436,Gene Expression
RASSF6,ENSG00000169435,Gene Expression
AC112518.1,ENSG00000228277,Gene Expression
CXCL8,ENSG00000169429,Gene Expression
CXCL6,ENSG00000124875,Gene Expression
PF4V1,ENSG00000109272,Gene Expression
CXCL1,ENSG00000163739,Gene Expression
PF4,ENSG00000163737,Gene Expression
PPBP,ENSG00000163736,Gene Expression
CXCL5,ENSG00000163735,Gene Expression
CXCL3,ENSG00000163734,Gene Expression
CXCL2,ENSG00000081041,Gene Expression
MTHFD2L,ENSG00000163738,Gene Expression
AC093677.2,ENSG00000269559,Gene Expression
EPGN,ENSG00000182585,Gene Expression
EREG,ENSG00000124882,Gene Expression
AC021180.1,ENSG00000250532,Gene Expression
AREG,ENSG00000109321,Gene Expression
AC239584.1,ENSG00000249942,Gene Expression
BTC,ENSG00000174808,Gene Expression
PARM1,ENSG00000169116,Gene Expression
AC110760.2,ENSG00000249717,Gene Expression
AC110760.1,ENSG00000248165,Gene Expression
LINC02562,ENSG00000260265,Gene Expression
AC025244.1,ENSG00000251185,Gene Expression
AC025244.2,ENSG00000251454,Gene Expression
LINC02483,ENSG00000251383,Gene Expression
AC096759.1,ENSG00000248646,Gene Expression
AC096759.2,ENSG00000250735,Gene Expression
RCHY1,ENSG00000163743,Gene Expression
THAP6,ENSG00000174796,Gene Expression
ODAPH,ENSG00000174792,Gene Expression
CDKL2,ENSG00000138769,Gene Expression
G3BP2,ENSG00000138757,Gene Expression
USO1,ENSG00000138768,Gene Expression
AC110615.1,ENSG00000229717,Gene Expression
PPEF2,ENSG00000156194,Gene Expression
NAAA,ENSG00000138744,Gene Expression
SDAD1,ENSG00000198301,Gene Expression
AC112719.2,ENSG00000245928,Gene Expression
CXCL9,ENSG00000138755,Gene Expression
ART3,ENSG00000156219,Gene Expression
CXCL10,ENSG00000169245,Gene Expression
CXCL11,ENSG00000169248,Gene Expression
NUP54,ENSG00000138750,Gene Expression
SCARB2,ENSG00000138760,Gene Expression
FAM47E,ENSG00000189157,Gene Expression
FAM47E-STBD1,ENSG00000272414,Gene Expression
STBD1,ENSG00000118804,Gene Expression
CCDC158,ENSG00000163749,Gene Expression
SHROOM3,ENSG00000138771,Gene Expression
AC107072.2,ENSG00000233860,Gene Expression
AC107072.1,ENSG00000224218,Gene Expression
SOWAHB,ENSG00000186212,Gene Expression
SEPT11,ENSG00000138758,Gene Expression
CCNI,ENSG00000118816,Gene Expression
CCNG2,ENSG00000138764,Gene Expression
AC092674.1,ENSG00000249036,Gene Expression
CXCL13,ENSG00000156234,Gene Expression
CNOT6L,ENSG00000138767,Gene Expression
MRPL1,ENSG00000169288,Gene Expression
FRAS1,ENSG00000138759,Gene Expression
ANXA3,ENSG00000138772,Gene Expression
LINC01094,ENSG00000251442,Gene Expression
AC098818.2,ENSG00000260278,Gene Expression
BMP2K,ENSG00000138756,Gene Expression
PAQR3,ENSG00000163291,Gene Expression
LINC01088,ENSG00000249307,Gene Expression
NAA11,ENSG00000156269,Gene Expression
GK2,ENSG00000196475,Gene Expression
LINC00989,ENSG00000250334,Gene Expression
AC092542.1,ENSG00000251399,Gene Expression
LINC02469,ENSG00000248408,Gene Expression
PCAT4,ENSG00000251321,Gene Expression
ANTXR2,ENSG00000163297,Gene Expression
AC021127.1,ENSG00000248719,Gene Expression
PRDM8,ENSG00000152784,Gene Expression
FGF5,ENSG00000138675,Gene Expression
CFAP299,ENSG00000197826,Gene Expression
BMP3,ENSG00000152785,Gene Expression
PRKG2,ENSG00000138669,Gene Expression
AC139722.1,ENSG00000251059,Gene Expression
RASGEF1B,ENSG00000138670,Gene Expression
AC124016.2,ENSG00000273156,Gene Expression
HNRNPD,ENSG00000138668,Gene Expression
AC124016.1,ENSG00000272677,Gene Expression
HNRNPDL,ENSG00000152795,Gene Expression
ENOPH1,ENSG00000145293,Gene Expression
TMEM150C,ENSG00000249242,Gene Expression
LINC00575,ENSG00000231782,Gene Expression
SCD5,ENSG00000145284,Gene Expression
SEC31A,ENSG00000138674,Gene Expression
THAP9-AS1,ENSG00000251022,Gene Expression
THAP9,ENSG00000168152,Gene Expression
LIN54,ENSG00000189308,Gene Expression
COPS4,ENSG00000138663,Gene Expression
PLAC8,ENSG00000145287,Gene Expression
AC114781.2,ENSG00000250057,Gene Expression
COQ2,ENSG00000173085,Gene Expression
HPSE,ENSG00000173083,Gene Expression
HELQ,ENSG00000163312,Gene Expression
MRPS18C,ENSG00000163319,Gene Expression
ABRAXAS1,ENSG00000163322,Gene Expression
GPAT3,ENSG00000138678,Gene Expression
AC021192.1,ENSG00000249171,Gene Expression
AC104063.1,ENSG00000248749,Gene Expression
NKX6-1,ENSG00000163623,Gene Expression
CDS1,ENSG00000163624,Gene Expression
WDFY3,ENSG00000163625,Gene Expression
WDFY3-AS1,ENSG00000251260,Gene Expression
ARHGAP24,ENSG00000138639,Gene Expression
MAPK10,ENSG00000109339,Gene Expression
AC104827.1,ENSG00000250062,Gene Expression
PTPN13,ENSG00000163629,Gene Expression
SLC10A6,ENSG00000145283,Gene Expression
C4orf36,ENSG00000163633,Gene Expression
AC093827.5,ENSG00000285458,Gene Expression
AC093827.4,ENSG00000284968,Gene Expression
AFF1,ENSG00000172493,Gene Expression
KLHL8,ENSG00000145332,Gene Expression
AC108516.1,ENSG00000250572,Gene Expression
HSD17B13,ENSG00000170509,Gene Expression
HSD17B11,ENSG00000198189,Gene Expression
NUDT9,ENSG00000170502,Gene Expression
AC112250.2,ENSG00000272856,Gene Expression
SPARCL1,ENSG00000152583,Gene Expression
AC093895.1,ENSG00000249001,Gene Expression
DSPP,ENSG00000152591,Gene Expression
DMP1,ENSG00000152592,Gene Expression
IBSP,ENSG00000029559,Gene Expression
MEPE,ENSG00000152595,Gene Expression
SPP1,ENSG00000118785,Gene Expression
PKD2,ENSG00000118762,Gene Expression
ABCG2,ENSG00000118777,Gene Expression
PPM1K,ENSG00000163644,Gene Expression
AC107067.1,ENSG00000246375,Gene Expression
HERC6,ENSG00000138642,Gene Expression
HERC5,ENSG00000138646,Gene Expression
PYURF,ENSG00000145337,Gene Expression
PIGY,ENSG00000255072,Gene Expression
AC098582.1,ENSG00000285385,Gene Expression
AC083829.2,ENSG00000285122,Gene Expression
HERC3,ENSG00000138641,Gene Expression
NAP1L5,ENSG00000177432,Gene Expression
FAM13A-AS1,ENSG00000248019,Gene Expression
FAM13A,ENSG00000138640,Gene Expression
TIGD2,ENSG00000180346,Gene Expression
AC104785.1,ENSG00000270720,Gene Expression
GPRIN3,ENSG00000185477,Gene Expression
AC097478.1,ENSG00000251095,Gene Expression
SNCA,ENSG00000145335,Gene Expression
AC097478.2,ENSG00000274238,Gene Expression
AC097478.4,ENSG00000277695,Gene Expression
AC097478.3,ENSG00000276542,Gene Expression
SNCA-AS1,ENSG00000247775,Gene Expression
MMRN1,ENSG00000138722,Gene Expression
CCSER1,ENSG00000184305,Gene Expression
AC004054.1,ENSG00000248984,Gene Expression
AC074124.1,ENSG00000249049,Gene Expression
AC093810.1,ENSG00000249052,Gene Expression
LNCPRESS2,ENSG00000249152,Gene Expression
AC112695.1,ENSG00000248511,Gene Expression
GRID2,ENSG00000152208,Gene Expression
AC095059.1,ENSG00000248627,Gene Expression
AC110800.1,ENSG00000250908,Gene Expression
ATOH1,ENSG00000172238,Gene Expression
AC096746.1,ENSG00000246541,Gene Expression
SMARCAD1,ENSG00000163104,Gene Expression
HPGDS,ENSG00000163106,Gene Expression
PDLIM5,ENSG00000163110,Gene Expression
AC108067.1,ENSG00000249951,Gene Expression
BMPR1B-DT,ENSG00000249599,Gene Expression
BMPR1B,ENSG00000138696,Gene Expression
UNC5C,ENSG00000182168,Gene Expression
AC106881.1,ENSG00000271474,Gene Expression
PDHA2,ENSG00000163114,Gene Expression
LINC02267,ENSG00000248510,Gene Expression
AC108515.1,ENSG00000253170,Gene Expression
STPG2,ENSG00000163116,Gene Expression
STPG2-AS1,ENSG00000251620,Gene Expression
AC019077.1,ENSG00000214559,Gene Expression
RAP1GDS1,ENSG00000138698,Gene Expression
TSPAN5,ENSG00000168785,Gene Expression
AC108159.1,ENSG00000251523,Gene Expression
AC114811.2,ENSG00000260641,Gene Expression
EIF4E,ENSG00000151247,Gene Expression
AC019131.1,ENSG00000263923,Gene Expression
METAP1,ENSG00000164024,Gene Expression
AC019131.2,ENSG00000272777,Gene Expression
ADH5,ENSG00000197894,Gene Expression
AP002026.1,ENSG00000246090,Gene Expression
ADH4,ENSG00000198099,Gene Expression
ADH6,ENSG00000172955,Gene Expression
ADH1A,ENSG00000187758,Gene Expression
ADH1B,ENSG00000196616,Gene Expression
ADH1C,ENSG00000248144,Gene Expression
ADH7,ENSG00000196344,Gene Expression
C4orf17,ENSG00000138813,Gene Expression
TRMT10A,ENSG00000145331,Gene Expression
MTTP,ENSG00000138823,Gene Expression
AC083902.1,ENSG00000248676,Gene Expression
C4orf54,ENSG00000248713,Gene Expression
DAPP1,ENSG00000070190,Gene Expression
LAMTOR3,ENSG00000109270,Gene Expression
DNAJB14,ENSG00000164031,Gene Expression
H2AFZ,ENSG00000164032,Gene Expression
AC097460.1,ENSG00000245322,Gene Expression
DDIT4L,ENSG00000145358,Gene Expression
AP001961.1,ENSG00000249710,Gene Expression
EMCN,ENSG00000164035,Gene Expression
PPP3CA,ENSG00000138814,Gene Expression
AP001816.1,ENSG00000254531,Gene Expression
BANK1,ENSG00000153064,Gene Expression
AP002075.1,ENSG00000251309,Gene Expression
SLC39A8,ENSG00000138821,Gene Expression
AC098487.1,ENSG00000248161,Gene Expression
AF213884.3,ENSG00000260651,Gene Expression
NFKB1,ENSG00000109320,Gene Expression
MANBA,ENSG00000109323,Gene Expression
UBE2D3,ENSG00000109332,Gene Expression
AC018797.2,ENSG00000246560,Gene Expression
CISD2,ENSG00000145354,Gene Expression
SLC9B1,ENSG00000164037,Gene Expression
SLC9B2,ENSG00000164038,Gene Expression
BDH2,ENSG00000164039,Gene Expression
CENPE,ENSG00000138778,Gene Expression
LINC02428,ENSG00000248740,Gene Expression
AC105460.2,ENSG00000251577,Gene Expression
AC105460.1,ENSG00000250920,Gene Expression
TACR3,ENSG00000169836,Gene Expression
LINC02503,ENSG00000249614,Gene Expression
AC004052.1,ENSG00000251170,Gene Expression
CXXC4,ENSG00000168772,Gene Expression
CXXC4-AS1,ENSG00000245384,Gene Expression
AC004063.1,ENSG00000250670,Gene Expression
AC004053.1,ENSG00000248242,Gene Expression
AC096577.1,ENSG00000248373,Gene Expression
AC004069.1,ENSG00000251259,Gene Expression
TET2,ENSG00000168769,Gene Expression
TET2-AS1,ENSG00000251586,Gene Expression
PPA2,ENSG00000138777,Gene Expression
AC004066.2,ENSG00000250522,Gene Expression
ARHGEF38,ENSG00000236699,Gene Expression
INTS12,ENSG00000138785,Gene Expression
GSTCD,ENSG00000138780,Gene Expression
AC008243.1,ENSG00000251175,Gene Expression
NPNT,ENSG00000168743,Gene Expression
AC109361.2,ENSG00000250740,Gene Expression
AC109361.1,ENSG00000249635,Gene Expression
TBCK,ENSG00000145348,Gene Expression
AIMP1,ENSG00000164022,Gene Expression
GIMD1,ENSG00000250298,Gene Expression
LINC02173,ENSG00000249613,Gene Expression
DKK2,ENSG00000155011,Gene Expression
AC104663.1,ENSG00000251081,Gene Expression
PAPSS1,ENSG00000138801,Gene Expression
SGMS2,ENSG00000164023,Gene Expression
AC096564.1,ENSG00000245293,Gene Expression
CYP2U1,ENSG00000155016,Gene Expression
AC096564.2,ENSG00000249604,Gene Expression
HADH,ENSG00000138796,Gene Expression
LEF1,ENSG00000138795,Gene Expression
RPL34-AS1,ENSG00000234492,Gene Expression
RPL34,ENSG00000109475,Gene Expression
OSTC,ENSG00000198856,Gene Expression
ETNPPL,ENSG00000164089,Gene Expression
COL25A1,ENSG00000188517,Gene Expression
ZCCHC23,ENSG00000246774,Gene Expression
SEC24B-AS1,ENSG00000247950,Gene Expression
SEC24B,ENSG00000138802,Gene Expression
MCUB,ENSG00000005059,Gene Expression
CASP6,ENSG00000138794,Gene Expression
AC004067.1,ENSG00000273447,Gene Expression
PLA2G12A,ENSG00000123739,Gene Expression
AC126283.2,ENSG00000285330,Gene Expression
CFI,ENSG00000205403,Gene Expression
AC126283.1,ENSG00000272795,Gene Expression
GAR1,ENSG00000109534,Gene Expression
RRH,ENSG00000180245,Gene Expression
LRIT3,ENSG00000183423,Gene Expression
EGF,ENSG00000138798,Gene Expression
ELOVL6,ENSG00000170522,Gene Expression
ENPEP,ENSG00000138792,Gene Expression
AC098798.1,ENSG00000250511,Gene Expression
PANCR,ENSG00000250103,Gene Expression
PITX2,ENSG00000164093,Gene Expression
LINC01438,ENSG00000249519,Gene Expression
AC083795.2,ENSG00000248656,Gene Expression
AC139718.2,ENSG00000250855,Gene Expression
AC139718.1,ENSG00000248432,Gene Expression
