,gene_ids,n_cells
RAD17,ENSG00000152942,51
GTF2H2C,ENSG00000183474,21
SMN2,ENSG00000205571,46
SMN1,ENSG00000172062,79
NAIP,ENSG00000249437,24
GTF2H2,ENSG00000145736,48
BDP1,ENSG00000145734,132
MCCC2,ENSG00000131844,74
MAP1B,ENSG00000131711,3
MRPS27,ENSG00000113048,100
PTCD2,ENSG00000049883,19
TNPO1,ENSG00000083312,79
FCHO2,ENSG00000157107,8
TMEM171,ENSG00000157111,6
RP11-79P5.9,ENSG00000272525,10
BTF3,ENSG00000145741,2413
ANKRA2,ENSG00000164331,100
UTP15,ENSG00000164338,33
ENC1,ENSG00000171617,9
HEXB,ENSG00000049860,285
GFM2,ENSG00000164347,30
NSA2,ENSG00000164346,602
FAM169A,ENSG00000198780,16
GCNT4,ENSG00000176928,4
ANKRD31,ENSG00000145700,3
HMGCR,ENSG00000113161,30
COL4A3BP,ENSG00000113163,97
POLK,ENSG00000122008,113
CTC-366B18.2,ENSG00000248881,3
POC5,ENSG00000152359,43
IQGAP2,ENSG00000145703,220
F2R,ENSG00000181104,35
F2RL1,ENSG00000164251,10
S100Z,ENSG00000171643,54
CRHBP,ENSG00000145708,3
AGGF1,ENSG00000164252,141
ZBED3,ENSG00000132846,4
PDE8B,ENSG00000113231,4
WDR41,ENSG00000164253,98
TBCA,ENSG00000171530,778
AP3B1,ENSG00000132842,115
CTD-2037K23.2,ENSG00000245556,87
SCAMP1,ENSG00000085365,76
LHFPL2,ENSG00000145685,13
ARSB,ENSG00000113273,20
JMY,ENSG00000152409,34
HOMER1,ENSG00000152413,18
PAPD4,ENSG00000164329,181
MTX3,ENSG00000177034,10
CTD-2201I18.1,ENSG00000249825,3
SERINC5,ENSG00000164300,142
ZFYVE16,ENSG00000039319,39
CTD-2015H6.3,ENSG00000249042,7
FAM151B,ENSG00000152380,4
ANKRD34B,ENSG00000189127,4
DHFR,ENSG00000228716,38
MSH3,ENSG00000113318,58
CTC-459I6.1,ENSG00000251450,3
RASGRF2,ENSG00000113319,29
CKMT2-AS1,ENSG00000247572,45
ZCCHC9,ENSG00000131732,156
SSBP2,ENSG00000145687,133
ATG10,ENSG00000152348,104
RPS23,ENSG00000186468,2650
ATP6AP1L,ENSG00000205464,3
TMEM167A,ENSG00000174695,249
XRCC4,ENSG00000152422,23
VCAN,ENSG00000038427,258
COX7C,ENSG00000127184,1868
RASA1,ENSG00000145715,31
CTC-428H11.2,ENSG00000272367,11
CCNH,ENSG00000134480,356
TMEM161B,ENSG00000164180,37
TMEM161B-AS1,ENSG00000247828,71
MEF2C,ENSG00000081189,193
CETN3,ENSG00000153140,26
MBLAC2,ENSG00000176055,18
LYSMD3,ENSG00000176018,37
RP11-213H15.1,ENSG00000234292,5
LUCAT1,ENSG00000248323,10
ARRDC3,ENSG00000113369,121
FAM172A,ENSG00000113391,90
POU5F2,ENSG00000248483,25
KIAA0825,ENSG00000185261,7
ANKRD32,ENSG00000133302,50
MCTP1,ENSG00000175471,30
TTC37,ENSG00000198677,66
ARSK,ENSG00000164291,35
GPR150,ENSG00000178015,16
RFESD,ENSG00000175449,17
RHOBTB3,ENSG00000164292,12
GLRX,ENSG00000173221,1004
C5orf27,ENSG00000236882,3
ELL2,ENSG00000118985,14
CAST,ENSG00000153113,440
ERAP1,ENSG00000164307,70
CTD-2260A17.1,ENSG00000248734,4
CTD-2260A17.2,ENSG00000247121,24
ERAP2,ENSG00000164308,95
LNPEP,ENSG00000113441,158
CTD-2215E18.1,ENSG00000251606,3
RIOK2,ENSG00000058729,116
RGMB,ENSG00000174136,20
CHD1,ENSG00000153922,159
CTD-2007H13.3,ENSG00000248489,9
FAM174A,ENSG00000174132,56
ST8SIA4,ENSG00000113532,91
SLCO4C1,ENSG00000173930,9
PAM,ENSG00000145730,38
GIN1,ENSG00000145723,21
PPIP5K2,ENSG00000145725,64
C5orf30,ENSG00000181751,23
NUDT12,ENSG00000112874,3
FBXL17,ENSG00000145743,30
LINC01023,ENSG00000272523,11
FER,ENSG00000151422,13
PJA2,ENSG00000198961,186
MAN2A1,ENSG00000112893,43
SLC25A46,ENSG00000164209,101
WDR36,ENSG00000134987,38
CAMK4,ENSG00000152495,261
STARD4,ENSG00000164211,25
NREP,ENSG00000134986,16
EPB41L4A-AS1,ENSG00000224032,472
APC,ENSG00000134982,34
SRP19,ENSG00000153037,396
REEP5,ENSG00000129625,704
ZRSR1,ENSG00000212643,4
DCP2,ENSG00000172795,167
MCC,ENSG00000171444,7
YTHDC2,ENSG00000047188,81
CTC-428G20.3,ENSG00000248175,5
PGGT1B,ENSG00000164219,59
CTC-428G20.6,ENSG00000271797,7
CCDC112,ENSG00000164221,90
FEM1C,ENSG00000145780,24
AC010226.4,ENSG00000249249,15
TMED7,ENSG00000134970,124
ATG12,ENSG00000145782,345
AP3S1,ENSG00000177879,427
CTD-2287O16.5,ENSG00000271918,14
COMMD10,ENSG00000145781,145
CTB-118N6.3,ENSG00000248445,4
DTWD2,ENSG00000169570,21
DMXL1,ENSG00000172869,110
TNFAIP8,ENSG00000145779,685
HSD17B4,ENSG00000133835,92
SRFBP1,ENSG00000151304,58
SNX2,ENSG00000205302,572
SNX24,ENSG00000064652,17
CEP120,ENSG00000168944,55
CSNK1G3,ENSG00000151292,50
GRAMD3,ENSG00000155324,19
RP11-517I3.1,ENSG00000250602,4
ALDH7A1,ENSG00000164904,5
PHAX,ENSG00000164902,222
LMNB1,ENSG00000113368,61
MARCH3,ENSG00000173926,22
C5orf63,ENSG00000164241,29
PRRC1,ENSG00000164244,51
CTC-228N24.3,ENSG00000245937,92
SLC12A2,ENSG00000064651,14
ISOC1,ENSG00000066583,106
HINT1,ENSG00000169567,1725
LYRM7,ENSG00000186687,92
CDC42SE2,ENSG00000158985,624
RAPGEF6,ENSG00000158987,52
FNIP1,ENSG00000217128,23
ACSL6,ENSG00000164398,55
SLC22A4,ENSG00000197208,8
SLC22A5,ENSG00000197375,20
C5orf56,ENSG00000197536,337
AC116366.6,ENSG00000234290,9
IRF1,ENSG00000125347,769
RAD50,ENSG00000113522,148
KIF3A,ENSG00000131437,59
CCNI2,ENSG00000205089,4
SEPT8,ENSG00000164402,15
SHROOM1,ENSG00000164403,5
UQCRQ,ENSG00000164405,787
LEAP2,ENSG00000164406,27
AFF4,ENSG00000072364,182
ZCCHC10,ENSG00000155329,123
HSPA4,ENSG00000170606,154
C5orf15,ENSG00000113583,152
VDAC1,ENSG00000213585,574
CTB-113I20.2,ENSG00000271737,12
TCF7,ENSG00000081059,624
SKP1,ENSG00000113558,1257
PPP2CA,ENSG00000113575,402
CDKL3,ENSG00000006837,88
CTD-2410N18.3,ENSG00000270177,5
UBE2B,ENSG00000119048,404
RP11-215P8.3,ENSG00000248559,9
CDKN2AIPNL,ENSG00000237190,182
JADE2,ENSG00000043143,130
SAR1B,ENSG00000152700,142
SEC24A,ENSG00000113615,30
CAMLG,ENSG00000164615,608
DDX46,ENSG00000145833,436
C5orf24,ENSG00000181904,96
TXNDC15,ENSG00000113621,194
PCBD2,ENSG00000132570,41
C5orf66,ENSG00000224186,14
H2AFY,ENSG00000113648,798
TIFAB,ENSG00000255833,6
TGFBI,ENSG00000120708,285
SMAD5,ENSG00000113658,29
KLHL3,ENSG00000146021,8
HNRNPA0,ENSG00000177733,1219
RP11-381K20.2,ENSG00000250159,5
FAM13B,ENSG00000031003,46
BRD8,ENSG00000112983,55
CDC23,ENSG00000094880,44
FAM53C,ENSG00000120709,131
KDM3B,ENSG00000120733,70
EGR1,ENSG00000120738,98
ETF1,ENSG00000120705,143
HSPA9,ENSG00000113013,358
CTNNA1,ENSG00000044115,97
SIL1,ENSG00000120725,91
MATR3,ENSG00000015479,513
PAIP2,ENSG00000120727,850
CTB-43P18.1,ENSG00000272742,8
MZB1,ENSG00000170476,74
SPATA24,ENSG00000170469,21
DNAJC18,ENSG00000170464,11
TMEM173,ENSG00000184584,345
UBE2D2,ENSG00000131508,1133
CXXC5,ENSG00000171604,195
NRG2,ENSG00000158458,6
LINC01024,ENSG00000245146,17
PURA,ENSG00000185129,44
CYSTM1,ENSG00000120306,150
PFDN1,ENSG00000113068,350
HBEGF,ENSG00000113070,35
ANKHD1,ENSG00000131503,62
ANKHD1-EIF4EBP3,ENSG00000254996,3
SRA1,ENSG00000213523,285
EIF4EBP3,ENSG00000243056,4
APBB3,ENSG00000113108,80
SLC35A4,ENSG00000176087,142
CD14,ENSG00000170458,388
NDUFA2,ENSG00000131495,695
TMCO6,ENSG00000113119,55
IK,ENSG00000113141,625
WDR55,ENSG00000120314,106
DND1,ENSG00000256453,5
HARS,ENSG00000170445,232
HARS2,ENSG00000112855,41
ZMAT2,ENSG00000146007,478
TAF7,ENSG00000178913,603
DIAPH1,ENSG00000131504,240
HDAC3,ENSG00000171720,220
RELL2,ENSG00000164620,41
FCHSD1,ENSG00000197948,33
ARAP3,ENSG00000120318,13
KIAA0141,ENSG00000081791,96
RNF14,ENSG00000013561,80
GNPDA1,ENSG00000113552,88
NDFIP1,ENSG00000131507,873
ARHGAP26,ENSG00000145819,76
NR3C1,ENSG00000113580,286
YIPF5,ENSG00000145817,170
PRELID2,ENSG00000186314,11
LARS,ENSG00000133706,155
RBM27,ENSG00000091009,117
TCERG1,ENSG00000113649,113
PPP2R2B,ENSG00000156475,32
JAKMIP2,ENSG00000176049,12
SCGB3A2,ENSG00000164265,12
FBXO38,ENSG00000145868,51
ADRB2,ENSG00000169252,102
GRPEL2,ENSG00000164284,30
PCYOX1L,ENSG00000145882,29
CSNK1A1,ENSG00000113712,422
ARHGEF37,ENSG00000183111,32
PPARGC1B,ENSG00000155846,17
SLC26A2,ENSG00000155850,17
TIGD6,ENSG00000164296,12
HMGXB3,ENSG00000113716,28
CSF1R,ENSG00000182578,191
PDGFRB,ENSG00000113721,5
TCOF1,ENSG00000070814,132
CD74,ENSG00000019582,2273
RPS14,ENSG00000164587,2688
NDST1,ENSG00000070614,12
RBM22,ENSG00000086589,200
DCTN4,ENSG00000132912,49
IRGM,ENSG00000237693,6
ZNF300,ENSG00000145908,4
GPX3,ENSG00000211445,6
TNIP1,ENSG00000145901,389
ANXA6,ENSG00000197043,793
CCDC69,ENSG00000198624,333
GM2A,ENSG00000196743,59
SLC36A1,ENSG00000123643,17
SPARC,ENSG00000113140,36
CTB-113P19.5,ENSG00000272112,3
ATOX1,ENSG00000177556,320
G3BP1,ENSG00000145907,264
FAM114A2,ENSG00000055147,59
MFAP3,ENSG00000037749,19
GALNT10,ENSG00000164574,52
SAP30L,ENSG00000164576,17
LARP1,ENSG00000155506,179
FAXDC2,ENSG00000170271,8
CNOT8,ENSG00000155508,183
GEMIN5,ENSG00000082516,15
MRPL22,ENSG00000082515,338
TIMD4,ENSG00000145850,3
HAVCR2,ENSG00000135077,125
MED7,ENSG00000155868,67
ITK,ENSG00000113263,214
CYFIP2,ENSG00000055163,269
CTB-47B11.3,ENSG00000248544,3
ADAM19,ENSG00000135074,54
THG1L,ENSG00000113272,90
LSM11,ENSG00000155858,4
CLINT1,ENSG00000113282,149
EBF1,ENSG00000164330,20
RNF145,ENSG00000145860,220
UBLCP1,ENSG00000164332,106
TTC1,ENSG00000113312,329
PWWP2A,ENSG00000170234,70
CCNJL,ENSG00000135083,5
C5orf54,ENSG00000221886,3
SLU7,ENSG00000164609,345
PTTG1,ENSG00000164611,94
MIR146A,ENSG00000253522,5
CCNG1,ENSG00000113328,443
NUDCD2,ENSG00000170584,310
HMMR,ENSG00000072571,6
MAT2B,ENSG00000038274,409
CTB-178M22.2,ENSG00000253978,3
RARS,ENSG00000113643,128
PANK3,ENSG00000120137,41
SPDL1,ENSG00000040275,26
DOCK2,ENSG00000134516,241
LCP2,ENSG00000043462,362
CTB-114C7.4,ENSG00000250274,3
KCNMB1,ENSG00000145936,33
RANBP17,ENSG00000204764,3
NPM1,ENSG00000181163,2216
FBXW11,ENSG00000072803,62
STK10,ENSG00000072786,342
UBTD2,ENSG00000168246,10
DUSP1,ENSG00000120129,2389
ERGIC1,ENSG00000113719,172
RPL26L1,ENSG00000037241,229
ATP6V0E1,ENSG00000113732,1515
CREBRF,ENSG00000164463,122
CTC-209H22.3,ENSG00000253172,3
BNIP1,ENSG00000113734,89
BOD1,ENSG00000145919,155
CPEB4,ENSG00000113742,33
SFXN1,ENSG00000164466,108
HRH2,ENSG00000113749,81
THOC3,ENSG00000051596,114
FAM153B,ENSG00000182230,22
SIMC1,ENSG00000170085,21
KIAA1191,ENSG00000122203,97
ARL10,ENSG00000175414,10
NOP16,ENSG00000048162,87
HIGD2A,ENSG00000146066,1325
CLTB,ENSG00000175416,517
FAF2,ENSG00000113194,48
RNF44,ENSG00000146083,149
TSPAN17,ENSG00000048140,65
HK3,ENSG00000160883,80
UIMC1,ENSG00000087206,113
ZNF346,ENSG00000113761,29
NSD1,ENSG00000165671,214
RAB24,ENSG00000169228,255
MXD3,ENSG00000213347,51
PRELID1,ENSG00000169230,1257
LMAN2,ENSG00000169223,698
RGS14,ENSG00000169220,289
F12,ENSG00000131187,12
GRK6,ENSG00000198055,505
PRR7-AS1,ENSG00000246334,4
PRR7,ENSG00000131188,125
DBN1,ENSG00000113758,28
PDLIM7,ENSG00000196923,94
DOK3,ENSG00000146094,78
DDX41,ENSG00000183258,130
FAM193B,ENSG00000146067,18
TMED9,ENSG00000184840,680
B4GALT7,ENSG00000027847,78
FAM153A,ENSG00000170074,17
RP11-423H2.3,ENSG00000249684,6
N4BP3,ENSG00000145911,11
RMND5B,ENSG00000145916,105
NHP2,ENSG00000145912,644
HNRNPAB,ENSG00000197451,178
PHYKPL,ENSG00000175309,246
CLK4,ENSG00000113240,124
ZNF354A,ENSG00000169131,61
ZNF354B,ENSG00000178338,28
ZFP2,ENSG00000198939,4
ZNF879,ENSG00000234284,15
ZNF354C,ENSG00000177932,9
RUFY1,ENSG00000176783,159
HNRNPH1,ENSG00000169045,334
CANX,ENSG00000127022,406
MAML1,ENSG00000161021,88
LTC4S,ENSG00000213316,20
MGAT4B,ENSG00000161013,40
SQSTM1,ENSG00000161011,558
C5orf45,ENSG00000161010,114
CTC-241N9.1,ENSG00000245317,6
TBC1D9B,ENSG00000197226,79
RNF130,ENSG00000113269,480
MAPK9,ENSG00000050748,32
CTB-129O4.1,ENSG00000248367,6
CNOT6,ENSG00000113300,41
SCGB3A1,ENSG00000161055,140
MGAT1,ENSG00000131446,347
LINC00847,ENSG00000245060,103
ZFP62,ENSG00000196670,69
CTC-338M12.5,ENSG00000250222,18
TRIM7,ENSG00000146054,22
CTC-338M12.6,ENSG00000250900,3
TRIM41,ENSG00000146063,56
GNB2L1,ENSG00000204628,2637
CTC-338M12.4,ENSG00000233937,26
TRIM52,ENSG00000183718,68
AC008443.1,ENSG00000268397,5
TRIM52-AS1,ENSG00000248275,89
DUSP22,ENSG00000112679,194
IRF4,ENSG00000137265,30
EXOC2,ENSG00000112685,91
HUS1B,ENSG00000188996,12
RP11-532F6.3,ENSG00000272463,13
RP11-157J24.2,ENSG00000272279,4
GMDS,ENSG00000112699,79
GMDS-AS1,ENSG00000250903,43
WRNIP1,ENSG00000124535,25
SERPINB1,ENSG00000021355,977
RP11-420G6.4,ENSG00000230438,14
SERPINB9,ENSG00000170542,152
SERPINB6,ENSG00000124570,518
LINC01011,ENSG00000244041,23
NQO2,ENSG00000124588,231
RP1-90J20.12,ENSG00000270346,4
RIPK1,ENSG00000137275,78
RP1-40E16.12,ENSG00000272277,20
BPHL,ENSG00000137274,34
TUBB2A,ENSG00000137267,54
PSMG4,ENSG00000180822,174
PXDC1,ENSG00000168994,4
FAM50B,ENSG00000145945,37
PRPF4B,ENSG00000112739,134
ECI2,ENSG00000198721,216
CDYL,ENSG00000153046,44
RPP40,ENSG00000124787,52
RP11-428J1.5,ENSG00000272142,10
LYRM4,ENSG00000214113,347
FARS2,ENSG00000145982,130
RP3-380B8.4,ENSG00000233064,3
F13A1,ENSG00000124491,35
LY86,ENSG00000112799,511
RREB1,ENSG00000124782,64
SSR1,ENSG00000124783,366
RIOK1,ENSG00000124784,97
SNRNP48,ENSG00000168566,104
TXNDC5,ENSG00000239264,11
BLOC1S5,ENSG00000188428,81
EEF1E1,ENSG00000124802,190
SLC35B3,ENSG00000124786,75
GCNT2,ENSG00000111846,20
PAK1IP1,ENSG00000111845,65
TMEM14C,ENSG00000111843,410
RP11-421M1.8,ENSG00000272097,6
TMEM14B,ENSG00000137210,642
SMIM13,ENSG00000224531,58
NEDD9,ENSG00000111859,115
TMEM170B,ENSG00000205269,13
ADTRP,ENSG00000111863,103
HIVEP1,ENSG00000095951,29
PHACTR1,ENSG00000112137,124
TBC1D7,ENSG00000145979,77
RP1-257A7.5,ENSG00000272379,4
GFOD1,ENSG00000145990,46
SIRT5,ENSG00000124523,78
RP1-223E5.4,ENSG00000261071,4
NOL7,ENSG00000225921,608
AL441883.1,ENSG00000268059,5
RANBP9,ENSG00000010017,51
MCUR1,ENSG00000050393,139
CD83,ENSG00000112149,200
RP11-560J1.2,ENSG00000271888,4
JARID2,ENSG00000008083,95
JARID2-AS1,ENSG00000235488,4
DTNBP1,ENSG00000047579,250
MYLIP,ENSG00000007944,490
GMPR,ENSG00000137198,54
ATXN1,ENSG00000124788,87
RP1-151F17.1,ENSG00000229931,3
RP1-151F17.2,ENSG00000272341,6
FAM8A1,ENSG00000137414,44
NUP153,ENSG00000124789,68
RP11-500C11.3,ENSG00000272269,30
KIF13A,ENSG00000137177,23
NHLRC1,ENSG00000187566,10
TPMT,ENSG00000137364,175
KDM1B,ENSG00000165097,80
DEK,ENSG00000124795,617
RNF144B,ENSG00000137393,54
MBOAT1,ENSG00000172197,27
E2F3,ENSG00000112242,39
CDKAL1,ENSG00000145996,51
SOX4,ENSG00000124766,64
MRS2,ENSG00000124532,109
ALDH5A1,ENSG00000112294,23
TDP2,ENSG00000111802,201
ACOT13,ENSG00000112304,76
C6orf62,ENSG00000112308,193
GMNN,ENSG00000112312,37
C6orf229,ENSG00000260286,3
FAM65B,ENSG00000111913,817
RP11-367G6.3,ENSG00000272053,26
LRRC16A,ENSG00000079691,5
TRIM38,ENSG00000112343,224
U91328.19,ENSG00000272462,7
HIST1H3A,ENSG00000198366,8
HIST1H4A,ENSG00000196176,4
HIST1H1C,ENSG00000187837,188
HFE,ENSG00000010704,11
HIST1H4C,ENSG00000197061,190
HIST1H2BC,ENSG00000180596,54
HIST1H2AC,ENSG00000180573,97
HIST1H1E,ENSG00000168298,36
HIST1H2BD,ENSG00000158373,37
HIST1H3D,ENSG00000197409,22
HIST1H2BF,ENSG00000197846,3
HIST1H4E,ENSG00000198518,19
HIST1H2BG,ENSG00000187990,10
HIST1H2AE,ENSG00000168274,20
HIST1H1D,ENSG00000124575,29
HIST1H2BH,ENSG00000197459,3
HIST1H4H,ENSG00000158406,8
BTN3A2,ENSG00000186470,583
BTN2A2,ENSG00000124508,49
BTN3A1,ENSG00000026950,157
BTN3A3,ENSG00000111801,122
BTN2A1,ENSG00000112763,82
HCG11,ENSG00000228223,26
CTA-14H9.5,ENSG00000261353,3
HMGN4,ENSG00000182952,85
ABT1,ENSG00000146109,317
ZNF322,ENSG00000181315,18
RP11-457M11.5,ENSG00000261584,5
HIST1H2BJ,ENSG00000124635,15
HIST1H2AG,ENSG00000196787,11
HIST1H2BK,ENSG00000197903,214
HIST1H4I,ENSG00000198339,4
HIST1H2AH,ENSG00000184825,6
ZNF391,ENSG00000124613,5
ZNF184,ENSG00000096654,17
HIST1H4J,ENSG00000197238,22
HIST1H4K,ENSG00000197914,3
HIST1H2BN,ENSG00000233822,39
HIST1H2AL,ENSG00000198374,6
HIST1H1B,ENSG00000184357,9
HIST1H2AM,ENSG00000233224,10
RP1-313I6.12,ENSG00000272009,176
ZNF165,ENSG00000197279,9
ZSCAN16-AS1,ENSG00000269293,110
ZSCAN16,ENSG00000196812,71
RP1-265C24.8,ENSG00000261839,3
ZKSCAN8,ENSG00000198315,27
ZSCAN9,ENSG00000137185,25
ZKSCAN4,ENSG00000187626,16
NKAPL,ENSG00000189134,9
ZSCAN31,ENSG00000235109,3
ZKSCAN3,ENSG00000189298,16
ZSCAN12,ENSG00000158691,11
HCG14,ENSG00000224157,5
TRIM27,ENSG00000204713,133
GABBR1,ENSG00000204681,49
ZFP57,ENSG00000204644,19
HLA-F,ENSG00000204642,891
HLA-G,ENSG00000204632,45
HLA-A,ENSG00000206503,2600
ZNRD1-AS1,ENSG00000204623,19
ZNRD1,ENSG00000066379,348
PPP1R11,ENSG00000204619,481
TRIM31,ENSG00000204616,3
TRIM26,ENSG00000234127,95
HCG18,ENSG00000231074,89
TRIM39,ENSG00000204599,148
RPP21,ENSG00000241370,150
HLA-E,ENSG00000204592,2382
GNL1,ENSG00000204590,142
PRR3,ENSG00000204576,58
ABCF1,ENSG00000204574,180
PPP1R10,ENSG00000204569,150
MRPS18B,ENSG00000204568,491
ATAT1,ENSG00000137343,39
C6orf136,ENSG00000204564,70
DHX16,ENSG00000204560,60
PPP1R18,ENSG00000146112,769
NRM,ENSG00000137404,63
MDC1,ENSG00000137337,21
TUBB,ENSG00000196230,851
XXbac-BPG252P9.9,ENSG00000272540,43
FLOT1,ENSG00000137312,309
XXbac-BPG252P9.10,ENSG00000272273,11
IER3,ENSG00000137331,87
DDR1,ENSG00000204580,9
GTF2H4,ENSG00000213780,6
VARS2,ENSG00000137411,25
CCHCR1,ENSG00000204536,26
TCF19,ENSG00000137310,27
XXbac-BPG299F13.17,ENSG00000272501,345
HCG27,ENSG00000206344,4
HLA-C,ENSG00000204525,2645
HLA-B,ENSG00000234745,2554
XXbac-BPG181B23.7,ENSG00000272221,10
MICA,ENSG00000204520,79
MICB,ENSG00000204516,63
DDX39B,ENSG00000198563,129
NFKBIL1,ENSG00000204498,99
LTA,ENSG00000226979,55
TNF,ENSG00000232810,46
LTB,ENSG00000227507,1893
LST1,ENSG00000204482,959
NCR3,ENSG00000204475,258
AIF1,ENSG00000204472,1008
PRRC2A,ENSG00000204469,114
BAG6,ENSG00000204463,226
APOM,ENSG00000204444,35
C6orf47,ENSG00000204439,118
GPANK1,ENSG00000204438,131
CSNK2B,ENSG00000204435,917
LY6G5B,ENSG00000240053,5
LY6G5C,ENSG00000204428,22
ABHD16A,ENSG00000204427,59
LY6G6F,ENSG00000204424,8
C6orf25,ENSG00000204420,19
DDAH2,ENSG00000213722,187
CLIC1,ENSG00000213719,1731
MSH5,ENSG00000204410,9
VARS,ENSG00000204394,62
LSM2,ENSG00000204392,549
HSPA1L,ENSG00000204390,8
HSPA1A,ENSG00000204389,188
HSPA1B,ENSG00000204388,20
C6orf48,ENSG00000204387,1456
NEU1,ENSG00000204386,142
EHMT2,ENSG00000204371,93
C2,ENSG00000166278,25
NELFE,ENSG00000204356,334
SKIV2L,ENSG00000204351,52
DXO,ENSG00000204348,92
STK19,ENSG00000204344,21
ATF6B,ENSG00000213676,403
FKBPL,ENSG00000204315,21
PRRT1,ENSG00000204314,8
PPT2,ENSG00000221988,11
PPT2-EGFL8,ENSG00000258388,3
AGPAT1,ENSG00000204310,87
RNF5,ENSG00000204308,396
AGER,ENSG00000204305,20
PBX2,ENSG00000204304,80
GPSM3,ENSG00000213654,1777
NOTCH4,ENSG00000204301,16
HLA-DRA,ENSG00000204287,1502
HLA-DRB5,ENSG00000198502,939
HLA-DRB1,ENSG00000196126,1235
HLA-DQA1,ENSG00000196735,586
HLA-DQB1,ENSG00000179344,645
HLA-DQB1-AS1,ENSG00000223534,6
HLA-DQA2,ENSG00000237541,333
HLA-DQB2,ENSG00000232629,74
HLA-DOB,ENSG00000241106,125
TAP2-1,ENSG00000204267,177
PSMB8,ENSG00000204264,1238
TAPSAR1,ENSG00000204261,626
PSMB9,ENSG00000240065,1569
TAP1,ENSG00000168394,625
HLA-DMB,ENSG00000242574,482
HLA-DMA,ENSG00000204257,708
BRD2,ENSG00000204256,427
XXbac-BPG181M17.6,ENSG00000263756,7
HLA-DOA,ENSG00000204252,50
HLA-DPA1,ENSG00000231389,1326
HLA-DPB1,ENSG00000223865,1388
RXRB,ENSG00000204231,112
SLC39A7,ENSG00000112473,111
HSD17B8,ENSG00000204228,129
RING1,ENSG00000204227,136
HCG25,ENSG00000232940,4
VPS52,ENSG00000223501,48
RPS18,ENSG00000231500,2690
B3GALT4,ENSG00000235863,95
WDR46,ENSG00000227057,180
PFDN6,ENSG00000204220,261
RGL2,ENSG00000237441,104
TAPBP,ENSG00000231925,702
ZBTB22,ENSG00000236104,38
DAXX,ENSG00000204209,207
KIFC1,ENSG00000237649,7
PHF1,ENSG00000112511,247
CUTA,ENSG00000112514,1164
SYNGAP1,ENSG00000197283,40
ZBTB9,ENSG00000213588,10
BAK1,ENSG00000030110,116
ITPR3,ENSG00000096433,45
UQCC2,ENSG00000137288,239
LEMD2,ENSG00000161904,124
HMGA1,ENSG00000137309,331
C6orf1,ENSG00000186577,219
RP11-513I15.6,ENSG00000225339,8
NUDT3,ENSG00000272325,226
RPS10,ENSG00000124614,2616
PACSIN1,ENSG00000124507,12
C6orf106,ENSG00000196821,83
RP11-140K17.3,ENSG00000272288,54
SNRPC,ENSG00000124562,570
UHRF1BP1,ENSG00000065060,6
TAF11,ENSG00000064995,210
ANKS1A,ENSG00000064999,13
ZNF76,ENSG00000065029,76
DEF6,ENSG00000023892,422
PPARD,ENSG00000112033,29
FANCE,ENSG00000112039,9
RPL10A,ENSG00000198755,2656
FKBP5,ENSG00000096060,217
SRPK1,ENSG00000096063,95
MAPK14,ENSG00000112062,151
MAPK13,ENSG00000156711,67
BRPF3,ENSG00000096070,11
ETV7,ENSG00000010030,26
KCTD20,ENSG00000112078,104
STK38,ENSG00000112079,232
SRSF3,ENSG00000112081,1277
CDKN1A,ENSG00000124762,190
CPNE5,ENSG00000124772,26
PPIL1,ENSG00000137168,95
C6orf89,ENSG00000198663,125
PI16,ENSG00000164530,50
MTCH1,ENSG00000137409,383
FGD2,ENSG00000146192,99
COX6A1P2,ENSG00000226976,510
PIM1,ENSG00000137193,502
TBC1D22B,ENSG00000065491,38
RNF8,ENSG00000112130,99
CMTR1,ENSG00000137200,74
CCDC167,ENSG00000198937,254
MDGA1,ENSG00000112139,5
ZFAND3,ENSG00000156639,135
BTBD9,ENSG00000183826,31
GLO1,ENSG00000124767,364
SAYSD1,ENSG00000112167,100
MOCS1,ENSG00000124615,3
UNC5CL,ENSG00000124602,6
OARD1,ENSG00000124596,223
NFYA,ENSG00000001167,44
TREML1,ENSG00000161911,17
TREML2,ENSG00000112195,16
TREM1,ENSG00000124731,81
FOXP4,ENSG00000137166,17
TFEB,ENSG00000112561,90
FRS3,ENSG00000137218,12
PRICKLE4,ENSG00000124593,24
USP49,ENSG00000164663,10
MED20,ENSG00000124641,16
BYSL,ENSG00000112578,21
CCND3,ENSG00000112576,1106
TAF8,ENSG00000137413,84
GUCA1B,ENSG00000112599,3
MRPS10,ENSG00000048544,160
TRERF1,ENSG00000124496,32
UBR2,ENSG00000024048,122
TBCC,ENSG00000124659,425
GLTSCR1L,ENSG00000112624,46
RPL7L1,ENSG00000146223,294
C6orf226,ENSG00000221821,156
PTCRA,ENSG00000171611,20
CNPY3,ENSG00000137161,750
RP3-475N16.1,ENSG00000231113,21
GNMT,ENSG00000124713,3
PEX6,ENSG00000124587,54
PPP2R5D,ENSG00000112640,52
MEA1,ENSG00000124733,349
KLHDC3,ENSG00000124702,223
RRP36,ENSG00000124541,35
CUL7,ENSG00000044090,9
KLC4,ENSG00000137171,27
MRPL2,ENSG00000112651,162
PTK7,ENSG00000112655,5
SRF,ENSG00000112658,37
CUL9,ENSG00000112659,35
DNPH1,ENSG00000112667,285
CRIP3,ENSG00000146215,7
